Rank,Name,Ticker,Count,Perc_Change,Daily_Count
1,SPDR S&P 500 ETF Trust,SPY,543,181%,"2,312"
2,GameStop,GME,335,122%,"6,817"
23,Tesla,TSLA,306,378%,"2,556"
44,Apple,AAPL,148,222%,"1,060"
15,Invesco QQQ ETF,QQQ,139,60%,"1,257"
96,Twitter,TWTR,125,443%,"1,495"
47,Aterian,ATER,114,37%,"1,249"
28,AMC Entertainment,AMC,111,76%,"1,922"
9,AMD,AMD,88,80%,261
110,Microsoft,MSFT,87,93%,378
2111,Home Depot,HD,82,447%,233
2212,Meta (Facebook),FB,73,462%,471
113,Amazon,AMZN,58,107%,179
7014,Nu Holdings,NU,46,1050%,114
215,ARK Investment Management LLC - ARK Innovation ETF,ARKK,43,79%,"1,152"
8016,DTE Energy,DTE,43,258%,290
717,Vanguard Total Stock Market ETF,VTI,42,-19%,184
2618,Alphabet (Google),GOOG,39,290%,159
4119,Netflix,NFLX,39,388%,"3,898"
820,SoFi,SOFI,36,44%,272
1421,TravelCenters of America,TA,35,-24%,296
522,Vinco Ventures,BBIG,35,21%,187
323,NVIDIA,NVDA,35,46%,119
624,C3 AI,AI,35,52%,91
3325,ZIM Integrated Shipping Services,ZIM,34,278%,116
2826,Wheels Up,UP,34,183%,109
1327,ProShares Trust - ProShares UltraPro Short QQQ,SQQQ,34,386%,79
528,ProShares Trust - ProShares UltraPro QQQ,TQQQ,34,55%,779
929,Vertex Energy,VTNR,33,154%,129
230,CLEAR Secure,YOU,33,106%,130
1031,IronSource,IS,32,78%,276
332,Gartner,IT,32,129%,153
1733,Palantir,PLTR,32,10%,664
1334,Rivian,RIVN,31,63%,109
1035,ProShares Trust - ProShares Ultra VIX Short-Term Futures ETF,UVXY,29,26%,53
5136,Forestar Group,FOR,28,300%,172
737,Luna Innovations,LUNA,26,86%,80
2538,Take 2 Interactive,TTWO,25,257%,60
11439,Occidental Petroleum,OXY,24,2300%,69
9940,Alibaba,BABA,24,700%,95
1941,Walmart,WMT,23,35%,96
9342,Digital World Acquisition,DWAC,21,320%,12
17343,Shopify,SHOP,21,425%,36
344,Chemours,CC,21,163%,61
61645,Cooper Companies,COO,20,1900%,311
346,Allstate,ALL,20,100%,73
547,Archaea Energy,LFG,19,46%,93
39448,Roblox,RBLX,19,850%,47
2449,Walt Disney,DIS,19,138%,61
2950,Sea (Garena),SE,19,73%,42
51,ON Semiconductor,ON,19,90%,45
14952,Sundial Growers,SNDL,18,800%,102
1853,Paramount Global,PARA,18,200%,84
1454,First Trust Exchange-Traded Fund III - First Trust Health Care AlphaDE,FXH,18,157%,114
3155,Vanguard S&P 500 ETF,VOO,18,-25%,68
456,Bloom Energy,BE,18,80%,78
64857,Spirit Airlines,SAVE,17,N/A,102
1958,SP Plus Corporation,SP,17,31%,102
